Component,Quantity,Price (INR),Direct Link
Arduino UNO R3,1,1782,https://robocraze.com/products/arduino-uno-original
SG90 servo motor,4,360,https://robocraze.com/products/sg90-micro-servo-motor
LDR /Photoresistors,4,120,https://robocraze.com/products/ldr-sensor-module
LCD Display  16X2 (I2C),1,194,https://robocraze.com/products/16x2-green-lcd-with-soldered-i2c-iic-interface
Piezo,1,14,https://robocraze.com/products/3-volts-buzzer-small
Push Button,2,25,https://robocraze.com/products/4-pin-push-button-tactile-switch-12x12x15mm-pack-of-5
10 k? Resistor,4,13,https://robocraze.com/products/10k-resistor-pack-of-10
RGB LED,2,40,https://robocraze.com/products/5mm-common-anode-rgb-led-4pin-pack-of-10
Jumper Wire(M-M),10,44,https://robu.in/product/male-to-male-jumper-wires-40-pcs-10cm/
Jumper Wire(M-F),10,14,https://robu.in/product/10-wire-male-to-female-jumper-wires-20cm/
Jumper Wire(F-F),10,33,https://robocraze.com/products/f2f-jumper-wires-20cm-20pcs
3D PRINTED BODY,1,650,LOCAL MARKET
,TOTAL:,3289,
