Component,Quantity,Price (INR),Direct Link
650nm 6mm 5V DC Mini Laser Dot Diode Module,1,16,https://robocraze.com/products/650nm-6mm-5v-dc-mini-laser-dot-diode-module
No lock push button,1,19,https://robocraze.com/products/red-pbs-11b-2pin-12mm-no-lock-push-button-momentary-switch-3a-250v
Wire,1,33,https://robocraze.com/products/ribbon-cable-10-wire-1-meter
Coin cell,2,61,https://robocraze.com/products/3v-cr2032-lithium-coin-battery-pack-of-5
Coin cell holder,2,22,https://robocraze.com/products/coin-type-battery-holder-24mm
Bondtite,1,79,https://amzn.in/d/08Vo6JfS
3D Printed body,1,500,Local Market
Screw,8,40,Local Market
,Total : ,770,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
